# scale  mvir rvir rs x y z vx vy vz Ax Ay Az b_to_a c_to_a Jx Jy Jz
### CHECK units:  1.0 1147000000000.0 Msun/h 215.053 kpc/h 18.813 kpc/h 63.67773 Mpc/h 61.61941 Mpc/h 70.21552 Mpc/h
1.0 1147000000000.0 215.053 18.813 63.67773 61.61941 70.21552 63.39 -120.01 299.9 8.48945 3.42513 -1.76377 0.2963 0.37145 -930200000000.0 2830000000000.0 -1277000000000.0
0.98733 1120000000000.0 214.489 17.064 63.66897 61.63395 70.17836 78.02 -112.7 299.23 6.86269 2.80574 0.26004 0.51997 0.52305 -904500000000.0 3014000000000.0 -1120000000000.0
0.97483 1105000000000.0 214.661 18.327 63.65614 61.64774 70.14007 101.71 -111.81 317.03 5.19087 3.96291 -0.83663 0.80993 0.62078 -799400000000.0 3016000000000.0 -1218000000000.0
0.96248 1091000000000.0 214.925 20.832 63.64098 61.66143 70.09824 108.74 -108.98 336.35 5.51446 2.80709 -3.92667 0.56267 0.54361 -734900000000.0 2999000000000.0 -1217000000000.0
0.95029 1078000000000.0 215.152 23.457 63.62639 61.67523 70.05314 104.58 -104.74 350.99 6.05149 2.69066 -3.12427 0.45995 0.45277 -735700000000.0 2916000000000.0 -1237000000000.0
0.93825 1062000000000.0 215.115 26.279 63.61346 61.68931 70.00551 95.67 -108.32 359.43 5.29025 2.85658 -1.41073 0.64731 0.41039 -656000000000.0 2676000000000.0 -1179000000000.0
0.92637 1040000000000.0 214.75 31.385 63.59946 61.70195 69.95759 94.45 -105.62 367.57 5.15818 2.52355 -1.60719 0.6799 0.3838 -670800000000.0 2534000000000.0 -1214000000000.0
0.91463 1005000000000.0 213.308 32.144 63.58635 61.71544 69.90821 91.36 -104.04 370.64 5.06748 2.41098 -1.67975 0.67745 0.40261 -587400000000.0 2051000000000.0 -1328000000000.0
0.90305 914800000000.0 207.709 27.661 63.57468 61.72945 69.85786 88.24 -104.25 371.3 4.87052 2.20868 -1.81999 0.65953 0.50827 -299900000000.0 817400000000.0 -1737000000000.0
0.89161 891200000000.0 206.86 27.658 63.56202 61.74273 69.80833 84.63 -103.01 370.99 4.86774 2.37677 -1.84813 0.66568 0.51481 -249800000000.0 447600000000.0 -1815000000000.0
0.88031 860600000000.0 205.399 29.033 63.54895 61.75635 69.75849 84.62 -103.68 366.69 4.95562 2.34295 -2.11342 0.64978 0.5074 -143000000000.0 201800000000.0 -1743000000000.0
0.86916 834000000000.0 204.172 26.967 63.53666 61.77047 69.70892 81.22 -102.17 368.42 4.81578 2.38739 -2.29304 0.65617 0.53982 -82280000000.0 62070000000.0 -1564000000000.0
0.85815 788300000000.0 201.247 23.366 63.52641 61.78464 69.65854 77.62 -102.26 368.4 4.79892 2.50902 -2.35681 0.66715 0.59118 108500000000.0 -294800000000.0 -878100000000.0
0.84728 766100000000.0 200.193 21.874 63.51698 61.79868 69.60751 75.24 -100.21 368.11 4.9597 2.51362 -2.42874 0.6639 0.59946 188100000000.0 -398500000000.0 -605500000000.0
0.83655 751300000000.0 199.733 21.962 63.50663 61.81221 69.55672 74.16 -99.1 368.54 4.8132 2.38781 -2.51512 0.66041 0.60228 252100000000.0 -457600000000.0 -486900000000.0
0.82595 742200000000.0 199.738 20.544 63.49644 61.82567 69.50558 74.3 -98.67 368.13 5.00741 2.26911 -2.9299 0.6302 0.60555 262300000000.0 -474300000000.0 -442300000000.0
0.81549 734600000000.0 199.861 20.448 63.4858 61.83916 69.45457 73.1 -98.45 366.18 4.7528 2.31591 -3.30741 0.63316 0.6203 282800000000.0 -483100000000.0 -408400000000.0
0.80516 727500000000.0 199.998 20.497 63.47462 61.85229 69.40394 73.0 -98.35 365.85 4.74564 2.4443 -3.36924 0.64872 0.64579 280900000000.0 -492000000000.0 -378900000000.0
0.79496 721300000000.0 200.191 20.309 63.46474 61.86629 69.35281 70.74 -94.79 358.07 4.99722 2.3641 -3.1354 0.63523 0.66467 291400000000.0 -494300000000.0 -364400000000.0
0.78489 718400000000.0 200.679 20.024 63.45535 61.87885 69.30151 67.59 -99.05 362.21 5.05533 2.2482 -3.07105 0.63788 0.67235 291000000000.0 -471600000000.0 -338000000000.0
0.77495 713200000000.0 200.936 21.357 63.44616 61.89302 69.24919 65.44 -99.62 364.68 5.16552 2.15378 -3.25543 0.62826 0.659 281300000000.0 -436200000000.0 -343400000000.0
0.76513 714200000000.0 201.749 22.559 63.4376 61.90762 69.19641 63.65 -100.76 366.74 5.2439 2.14349 -3.27403 0.61541 0.63546 320100000000.0 -405300000000.0 -344500000000.0
0.75544 715200000000.0 202.552 25.044 63.42841 61.92198 69.14407 63.39 -100.68 367.94 5.35268 2.13427 -3.21942 0.62601 0.60249 344600000000.0 -370200000000.0 -322400000000.0
0.74587 712800000000.0 203.03 26.727 63.41953 61.93666 69.09076 68.04 -98.88 367.54 5.37006 1.99623 -3.23893 0.62633 0.57812 363500000000.0 -336600000000.0 -307000000000.0
0.73643 706300000000.0 203.095 25.305 63.4099 61.95094 69.03669 68.46 -98.27 368.87 5.49713 1.83899 -3.33979 0.62319 0.5634 383200000000.0 -295000000000.0 -278900000000.0
0.7271 690700000000.0 202.245 23.795 63.40078 61.96533 68.98307 68.93 -93.89 367.48 5.58385 1.57642 -3.54607 0.63847 0.55788 437400000000.0 -167000000000.0 -163100000000.0
0.71789 684400000000.0 202.283 23.913 63.39337 61.97958 68.92846 66.74 -97.21 366.83 5.7322 1.68186 -3.17339 0.69244 0.55176 424500000000.0 -132500000000.0 -111600000000.0
0.70879 682400000000.0 202.719 23.4 63.38295 61.99376 68.87535 68.97 -93.82 364.31 5.74827 1.70928 -2.9283 0.67824 0.54913 439200000000.0 -120100000000.0 -88700000000.0
0.69982 680600000000.0 203.165 24.908 63.37347 62.00987 68.82372 59.25 -91.27 361.61 5.61119 1.48088 -3.49374 0.68143 0.55185 439000000000.0 -66280000000.0 -77620000000.0
0.69095 681500000000.0 203.865 29.483 63.36563 62.02457 68.77148 56.73 -90.6 353.74 5.76422 1.56365 -3.53391 0.65157 0.54724 430500000000.0 -31560000000.0 -60230000000.0
0.6822 687300000000.0 205.043 32.658 63.35646 62.03773 68.72025 57.52 -87.93 349.99 5.78124 1.26814 -3.91418 0.57128 0.54019 429000000000.0 -10560000000.0 -45010000000.0
0.67356 694400000000.0 206.337 37.245 63.34669 62.05088 68.66949 63.12 -85.74 345.84 5.76218 1.10077 -4.02631 0.54813 0.5206 422900000000.0 4089000000.0 -17970000000.0
0.66503 696600000000.0 207.139 39.539 63.33714 62.0641 68.61829 67.99 -84.06 345.14 5.75079 0.97484 -4.14935 0.53792 0.50162 423400000000.0 18440000000.0 -14100000000.0
0.6566 700300000000.0 208.065 40.2 63.32572 62.07632 68.56725 70.6 -88.19 343.98 5.80829 1.06752 -4.37139 0.51889 0.48274 423400000000.0 38550000000.0 -36010000000.0
0.64828 695800000000.0 208.172 39.709 63.31417 62.08845 68.51665 68.8 -88.78 345.5 5.7318 1.29993 -4.35062 0.50333 0.46508 394200000000.0 71060000000.0 -61240000000.0
0.64007 699600000000.0 209.098 39.392 63.30185 62.1005 68.46759 67.58 -91.31 343.53 6.6886 1.02477 -4.81503 0.49444 0.43899 365800000000.0 77020000000.0 -67720000000.0
0.63197 700600000000.0 209.726 36.473 63.29462 62.11402 68.41311 74.05 -93.62 341.74 6.81933 0.82421 -5.35162 0.47364 0.44939 349900000000.0 72410000000.0 -30920000000.0
0.62396 699900000000.0 210.178 37.146 63.28426 62.12796 68.36033 74.04 -101.1 341.29 6.93384 0.74589 -5.49094 0.4414 0.43929 285700000000.0 53440000000.0 -23560000000.0
0.61606 707000000000.0 211.398 35.888 63.2678 62.13969 68.31432 77.54 -109.22 337.26 7.2831 0.98245 -6.1298 0.40028 0.41322 301500000000.0 75190000000.0 11560000000.0
0.60825 716700000000.0 212.86 34.163 63.25215 62.15764 68.26895 69.86 -113.67 350.47 7.30617 0.71378 -6.26932 0.45164 0.40745 256800000000.0 88520000000.0 -6555000000.0
0.60055 728500000000.0 214.514 35.966 63.23843 62.17492 68.22002 51.71 -100.1 369.66 7.38361 -0.66171 -6.46092 0.42669 0.37311 183400000000.0 85350000000.0 -97300000000.0
0.59294 730600000000.0 215.205 41.662 63.23159 62.18782 68.16293 80.33 -88.34 348.78 6.77024 0.47479 -5.50342 0.40974 0.37559 187500000000.0 19780000000.0 -134000000000.0
0.58543 738000000000.0 216.405 47.266 63.23545 62.19927 68.09928 52.02 -102.7 374.16 7.62649 0.76597 -5.57481 0.39234 0.38439 112500000000.0 -31160000000.0 -215900000000.0
0.57802 738400000000.0 216.899 57.218 63.23555 62.2125 68.0396 32.39 -88.43 381.91 8.67937 -0.00837 -5.87311 0.31845 0.35905 71690000000.0 -81090000000.0 -268900000000.0
0.57069 732800000000.0 216.794 62.119 63.2336 62.2259 67.98219 40.16 -89.23 374.24 9.19729 0.29415 -5.93761 0.29621 0.36198 4757000000.0 -152700000000.0 -302000000000.0
0.56346 723200000000.0 216.282 67.596 63.22955 62.23906 67.92609 56.03 -90.71 365.44 9.03931 0.24991 -5.67096 0.30528 0.34792 -30720000000.0 -186400000000.0 -320100000000.0
0.55633 709100000000.0 215.299 60.073 63.22313 62.25189 67.87166 68.19 -85.77 360.38 8.80327 0.26329 -5.75771 0.35471 0.35578 -30400000000.0 -233600000000.0 -284100000000.0
0.54928 687600000000.0 213.504 47.173 63.214 62.26352 67.81924 86.34 -80.49 358.55 9.19043 0.23936 -5.84382 0.36699 0.37621 -22720000000.0 -381000000000.0 -245100000000.0
0.54232 667400000000.0 211.785 38.106 63.20234 62.27395 67.76938 112.7 -77.31 349.14 10.0036 0.14905 -6.38014 0.36036 0.37813 -17300000000.0 -459500000000.0 -226600000000.0
0.53545 653600000000.0 210.702 29.249 63.18641 62.28346 67.72063 129.95 -79.32 331.64 9.34338 -0.0722 -6.60332 0.3864 0.396 -32240000000.0 -362300000000.0 -221900000000.0
0.52867 646600000000.0 210.32 22.568 63.16118 62.2935 67.6722 73.98 -79.0 347.31 -6.04288 -0.09106 6.52321 0.56709 0.50117 -55580000000.0 -271400000000.0 -249100000000.0
0.52197 644300000000.0 210.428 31.575 63.13197 62.30663 67.63203 120.89 -71.46 295.55 7.74623 0.13591 -5.28319 0.55338 0.50187 12780000000.0 -355400000000.0 -185900000000.0
0.51536 630900000000.0 209.306 46.122 63.10979 62.31803 67.5931 127.77 -70.01 276.83 8.21416 -0.17318 -7.12976 0.36321 0.3749 75150000000.0 -407400000000.0 -131500000000.0
0.50883 611600000000.0 207.494 60.864 63.09046 62.3297 67.5536 121.69 -74.01 274.22 -6.5072 -0.13797 7.31141 0.40029 0.31319 69130000000.0 -359600000000.0 -139300000000.0
0.50239 582800000000.0 204.504 73.244 63.07167 62.34223 67.5144 114.74 -80.34 278.7 -4.02729 -0.15014 4.91427 0.81868 0.26471 68850000000.0 -343200000000.0 -137500000000.0
0.49602 537800000000.0 199.407 84.639 63.05305 62.35473 67.47456 112.91 -77.49 277.85 5.26662 -1.05281 -2.6111 0.96227 0.29153 59780000000.0 -336200000000.0 -131800000000.0
0.48974 461900000000.0 189.826 56.074 63.03532 62.36768 67.43491 107.81 -80.22 268.55 4.67706 -3.67479 -1.25451 0.89524 0.59805 51220000000.0 -198000000000.0 -89000000000.0
0.48354 392400000000.0 180.047 39.223 63.01884 62.38146 67.39514 105.4 -75.33 261.87 -3.69097 4.64013 1.77156 0.84498 0.74327 52490000000.0 19300000000.0 -41910000000.0
0.47741 367000000000.0 176.317 31.098 63.00562 62.39507 67.3582 104.08 -66.39 259.01 -3.653 4.44048 1.37272 0.87271 0.79166 75500000000.0 110000000000.0 -22630000000.0
0.47137 349400000000.0 173.687 28.873 62.99055 62.40872 67.32575 105.18 -62.61 269.13 1.51325 3.06564 5.22754 0.95295 0.83694 119300000000.0 147100000000.0 -7788000000.0
0.4654 327900000000.0 170.279 29.865 62.97392 62.42179 67.28968 125.82 -88.35 261.24 3.06477 1.83556 5.0672 0.94108 0.81902 129500000000.0 192800000000.0 -66780000000.0
0.4595 317900000000.0 168.749 30.778 62.95584 62.43466 67.25232 125.24 -79.99 253.44 3.10343 1.67983 4.64505 0.75892 0.82533 123600000000.0 204100000000.0 -48480000000.0
