# scale  mvir rvir rs x y z vx vy vz Ax Ay Az b_to_a c_to_a Jx Jy Jz
1.0 1147000000000.0 215.059 18.746 63.67735 61.61893 70.2152 62.38 -118.2 300.24 13.1144 5.36418 -2.6801 0.29736 0.37664 -885500000000.0 2792000000000.0 -1231000000000.0
0.98733 1120000000000.0 214.497 16.948 63.6684 61.63333 70.17867 77.94 -113.05 299.46 10.4573 4.43386 0.54175 0.52406 0.53187 -879300000000.0 2991000000000.0 -1111000000000.0
0.97483 1105000000000.0 214.673 18.17 63.65624 61.64715 70.14003 102.66 -111.17 317.05 7.77193 6.21504 -1.21205 0.81492 0.62265 -784900000000.0 3029000000000.0 -1182000000000.0
0.96248 1092000000000.0 214.958 20.346 63.64198 61.6613 70.09735 109.73 -108.86 335.15 8.50869 4.55946 -6.0279 0.57499 0.54164 -728800000000.0 2971000000000.0 -1195000000000.0
0.95029 1078000000000.0 215.175 23.306 63.62624 61.67482 70.05302 104.59 -105.7 349.55 9.21685 4.24713 -4.70503 0.46493 0.44901 -728600000000.0 2891000000000.0 -1212000000000.0
0.93825 1062000000000.0 215.118 27.335 63.6121 61.68806 70.00672 96.48 -115.16 355.31 7.95847 4.18226 -2.62369 0.61584 0.40594 -592700000000.0 2673000000000.0 -1012000000000.0
0.92637 1041000000000.0 214.764 32.362 63.59953 61.70173 69.95755 95.49 -103.77 368.35 7.86117 3.60948 -2.75213 0.67579 0.38078 -699200000000.0 2571000000000.0 -1246000000000.0
0.91463 1007000000000.0 213.478 32.894 63.58764 61.71577 69.90752 89.02 -104.45 373.02 7.77891 3.74271 -2.65119 0.67553 0.39825 -590500000000.0 2096000000000.0 -1324000000000.0
0.90305 913700000000.0 207.623 27.505 63.57486 61.72927 69.85789 88.78 -104.44 370.26 7.50228 3.42384 -2.98989 0.64416 0.50976 -299900000000.0 798300000000.0 -1734000000000.0
0.89161 890100000000.0 206.777 27.761 63.56411 61.74376 69.80704 83.43 -104.17 369.53 7.75366 3.42411 -3.46518 0.63485 0.50342 -231000000000.0 430200000000.0 -1797000000000.0
