# scale mvir dist vel rvir rs vmax rvmax x y z
1.0 267800000.0 0.8625302728797173 41.610508874831844 13.242 0.163 21.14 0.39478 63.21233 61.59685 70.94131
0.98733 268200000.0 0.8590678294109539 56.035880417941875 13.32 0.146 21.38 0.37464 63.20733 61.61642 70.90333
0.97483 268700000.0 0.8551662603501101 78.70077261667413 13.399 0.155 21.5 0.36167 63.20238 61.63618 70.86474
0.96248 269200000.0 0.8532150729217354 90.2682194277682 13.478 0.156 21.11 0.39901 63.19739 61.65608 70.82556
0.95029 269200000.0 0.8515721038553088 93.05671671398031 13.547 0.144 20.99 0.45337 63.19249 61.67607 70.78584
0.93825 270100000.0 0.8520758196661861 84.45820693072714 13.631 0.148 21.05 0.4086 63.18755 61.69626 70.74545
0.92637 270200000.0 0.8554701284243418 95.56549357345746 13.701 0.153 20.69 0.44864 63.18259 61.71653 70.70439
0.91463 270400000.0 0.8595804194854818 92.88308322517167 13.77 0.155 20.84 0.50622 63.17769 61.73705 70.66274
0.90305 270000000.0 0.8625520060606491 89.52616115521427 13.83 0.158 20.76 0.51078 63.17277 61.75761 70.62046
0.89161 271500000.0 0.8671319277032052 84.81480688610019 13.919 0.162 20.51 0.51836 63.16786 61.77835 70.57756
0.88031 278400000.0 0.8679894083930849 84.32295179609652 14.1 0.173 20.73 0.51655 63.16295 61.79923 70.53403
0.86916 281200000.0 0.8698549649246657 79.6316283526101 14.21 0.186 20.53 0.58478 63.15803 61.82017 70.48981
0.85815 276900000.0 0.8726699411468731 77.6654552488861 14.199 0.187 20.53 0.43072 63.15308 61.8412 70.44495
0.84728 275500000.0 0.8754575586885542 76.0171815802876 14.236 0.19 20.57 0.52567 63.14818 61.86234 70.39935
0.83655 276500000.0 0.878886097140531 72.72844683753873 14.313 0.19 20.59 0.49048 63.1432 61.88355 70.35313
0.82595 277000000.0 0.8806766969380474 71.7832597431672 14.382 0.207 20.16 0.50588 63.1382 61.90479 70.30621
0.81549 276000000.0 0.8822880397123622 68.3913768229806 14.421 0.195 20.33 0.66491 63.13305 61.92612 70.25863
0.80516 268900000.0 0.8827001197289921 64.69742744116621 14.353 0.19 20.1 0.6988 63.12786 61.94746 70.21037
0.79496 269500000.0 0.8835874531463807 62.05213378365507 14.419 0.203 19.91 0.68186 63.12255 61.96878 70.16132
0.78489 269000000.0 0.88450709574114 60.037025794234154 14.465 0.206 20.13 0.71802 63.11715 61.99012 70.11154
0.77495 269500000.0 0.8862762810505277 57.77495722604448 14.527 0.203 20.38 0.59304 63.11159 62.01141 70.06097
0.76513 269800000.0 0.8874007887046479 54.42133382946767 14.585 0.21 20.05 0.7751 63.10582 62.03278 70.00969
0.75544 270000000.0 0.8871778661638142 51.66418032129909 14.639 0.215 19.91 0.64189 63.09984 62.05414 69.95762
0.74587 270700000.0 0.8885188229320689 54.51970970916301 14.702 0.229 19.99 0.6085 63.09362 62.07528 69.90478
0.73643 269800000.0 0.8891576058810997 53.388455217689426 14.736 0.231 19.76 0.70176 63.08701 62.09644 69.85105
0.7271 269900000.0 0.8891515135672358 53.35625503987464 14.787 0.229 19.84 0.81383 63.08001 62.11748 69.79649
0.71789 270800000.0 0.8869251566204379 50.1924779923176 14.851 0.237 19.78 0.90304 63.07254 62.13834 69.74113
0.70879 271000000.0 0.8845197589315452 53.85273109111306 14.901 0.25 19.51 0.81199 63.06458 62.15892 69.68507
0.69982 271000000.0 0.8813855241660737 55.85045816740334 14.946 0.246 19.76 0.87991 63.05618 62.1793 69.62823
0.69095 272500000.0 0.8783090907392466 60.01602632440607 15.02 0.249 19.82 0.73557 63.0472 62.19927 69.57062
0.6822 272900000.0 0.8725283046670879 64.6049221618251 15.071 0.257 19.63 0.71001 63.03775 62.21876 69.51231
0.67356 273300000.0 0.8675717114792802 68.8083919946084 15.122 0.261 19.61 0.69508 63.02761 62.23773 69.45334
0.66503 273600000.0 0.8641201347399814 69.98044650798927 15.169 0.274 19.74 0.90086 63.01687 62.25629 69.39384
0.6566 274600000.0 0.8571972271300832 70.08089890186751 15.229 0.291 19.41 1.03732 63.00536 62.27416 69.33385
0.64828 275600000.0 0.8454775861379946 72.26279813237873 15.288 0.287 19.55 0.86861 62.99314 62.29144 69.27342
0.64007 276000000.0 0.8400348233978905 72.84397719123746 15.335 0.309 19.46 1.15373 62.98014 62.30791 69.21275
0.63197 278400000.0 0.8316994973921705 70.31430685278342 15.418 0.313 19.6 0.98928 62.9663 62.3236 69.15179
0.62396 279700000.0 0.8274816639378245 73.23199005669409 15.482 0.328 19.28 1.22905 62.95161 62.33848 69.0907
